year,pv_np_4fr_tuition,pv_one_4yr_%change,pb_4fr_tuition,pb_one_4yr_%change,pb_two_2yr_tuition,pb2_one_2yr_%change,pv_np_4fr_tuition_bd,pv_one_4yr_%change_bd,pb_4fr_tuition_bd,pb_one_4yr_%change_bd
1973,11660,-0.60%,2900,-0.037,1540,0.116,18320,-0.014,9100,-0.024
1974,10870,-6.80%,2600,-0.103,1430,-0.071,17450,-0.047,8420,-0.075
1975,10650,-2.00%,2510,-0.035,1160,-0.189,17110,-0.019,8280,-0.017
1976,11170,4.90%,2740,0.092,1240,0.069,17570,0.027,8560,0.034
1977,11150,-0.20%,2730,-0.004,1280,0.032,17520,-0.003,8430,-0.015
1978,11350,1.80%,2650,-0.029,1270,-0.008,17680,0.009,8250,-0.021
1979,11140,-1.90%,2550,-0.038,1240,-0.024,17270,-0.023,8030,-0.027
1980,11030,-1.00%,2440,-0.043,1190,-0.04,17030,-0.014,7770,-0.032
1981,11310,2.50%,2500,0.025,1180,-0.008,17410,0.022,7900,0.017
1982,11990,6.00%,2660,0.064,1210,0.025,18430,0.059,8270,0.047
1983,12840,7.10%,2900,0.09,1340,0.107,19580,0.062,8650,0.046
1984,13460,4.80%,2980,0.028,1400,0.045,20460,0.045,8910,0.03
1985,14310,6.30%,3090,0.037,1500,0.071,20810,0.017,9020,0.012
1986,15330,7.10%,3250,0.052,1520,0.013,22670,0.089,9320,0.033
1987,15610,1.80%,3300,0.015,1640,0.079,23160,0.022,9300,-0.002
1988,17010,9.00%,3360,0.018,1700,0.037,24800,0.071,9480,0.019
1989,17540,3.10%,3440,0.024,1700,0,25440,0.026,9560,0.008
1990,18050,2.90%,3690,0.073,1760,0.035,26050,0.024,9800,0.025
1991,18150,0.60%,3900,0.057,2160,0.227,26260,0.008,10080,0.029
1992,18740,3.30%,4180,0.072,2010,-0.069,26960,0.027,10460,0.038
1993,19210,2.50%,4430,0.06,2180,0.085,27570,0.023,10840,0.036
1994,19900,3.60%,4600,0.038,2220,0.018,28020,0.016,11240,0.037
1995,20190,1.50%,4640,0.009,2200,-0.009,28720,0.025,11140,-0.009
1996,20850,3.30%,4780,0.03,2360,0.073,29470,0.026,11460,0.029
1997,21650,3.80%,4880,0.021,2470,0.047,30400,0.032,11730,0.024
1998,22710,4.90%,5020,0.029,2390,-0.032,31590,0.039,12000,0.023
1999,23460,3.30%,5080,0.012,2490,0.042,32470,0.028,12210,0.018
2000,23440,-0.10%,5120,0.008,2390,-0.04,32430,-0.001,12310,0.008
2001,24680,5.30%,5350,0.045,2290,-0.042,33880,0.045,12820,0.041
2002,25270,2.40%,5740,0.073,2340,0.022,34800,0.027,13530,0.055
2003,25970,2.80%,6370,0.11,2620,0.12,35710,0.026,14430,0.067
2004,26680,2.70%,6830,0.072,2770,0.057,36550,0.024,15140,0.049
2005,27060,1.40%,7080,0.037,2810,0.014,37070,0.014,15630,0.032
2006,27630,2.10%,7180,0.014,2810,0,37770,0.019,15900,0.017
2007,28330,2.50%,7490,0.043,2770,-0.014,38700,0.025,16410,0.032
2008,28440,0.40%,7560,0.009,2730,-0.014,38720,0.001,16460,0.003
2009,30120,5.90%,8270,0.094,3010,0.103,41040,0.06,17830,0.083
2010,30940,2.70%,8820,0.067,3170,0.053,42160,0.027,18700,0.049
2011,31100,0.50%,9240,0.048,3310,0.044,42350,0.005,19140,0.024
2012,31890,2.50%,9510,0.029,3460,0.045,43390,0.025,19600,0.024
2013,32500,1.90%,9590,0.008,3500,0.012,44190,0.018,19830,0.012
2014,33090,1.80%,9680,0.009,3530,0.009,44900,0.016,20020,0.01
2015,34150,3.20%,9960,0.029,3590,0.017,46330,0.032,20660,0.032
2016,35080,2.70%,10130,0.017,3620,0.008,47490,0.025,21100,0.021
2017,35720,1.80%,10270,0.014,3670,0.014,48380,0.019,21400,0.014
